session_id,device_readiness_ms,app_install_ms,maestro_init_ms,driver_setup_ms,device_info_ms,define_variables_ms,apply_configuration_ms,launch_app_ms,tap_searchField_ms,erase_text_p50_ms,erase_text_p90_ms,input_text_p50_ms,input_text_p90_ms,assert_visible_p50_ms,assert_visible_p90_ms,per_rep_total_p50_ms,per_rep_total_p90_ms,execution_ms,maestro_total_ms,stop_ms,session_total_ms,exit_code
20260508_181354_iter1,348,1605,1377,673,292,4,1,1227,1881,3353,3364,1922,1936,482,508,5756,5788,665891,674791,576,677320,0
20260508_181354_iter2,298,1798,1135,619,270,6,1,1258,2170,3352,3364,1922,1936,482,507,5759,5792,666101,672853,564,675513,0
20260508_181354_iter3,334,1650,952,559,236,4,0,1277,2168,3357,3379,1928,1945,511,546,5794,5867,671824,678488,592,681064,0
20260508_181354_iter4,254,1662,1010,584,262,4,0,1259,2274,3358,3374,1933,1949,515,539,5806,5843,671374,677826,509,680251,0
20260508_181354_iter5,306,1732,1028,656,281,4,0,1255,2033,3360,3374,1933,1948,505,545,5799,5858,671266,678023,958,681019,0
20260508_181354_iter6,232,1766,1027,710,300,4,1,1245,2259,3364,3378,1937,1950,518,554,5814,5869,673284,679966,603,682567,0
20260508_181354_iter7,215,1730,984,711,312,3,1,1293,1937,3368,3387,1937,1953,516,548,5821,5878,673748,680421,552,682918,0
20260508_181354_iter8,208,1682,1140,688,284,4,1,1220,1905,3361,3378,1932,1950,507,540,5804,5848,669828,676197,564,678651,0
20260508_181354_iter9,226,1672,1002,705,287,3,1,1216,2281,3349,3362,1921,1932,469,503,5741,5782,664369,671541,612,674051,0
20260508_181354_iter10,257,1679,1307,719,273,3,1,1252,1836,3355,3369,1922,1939,480,514,5759,5813,666018,673129,558,675623,0
